"instances","user_id","room_id","experiment_id","datetime_from","datetime_to"
1,FA369774,1,c1,2023-11-29 10:30:00.000,2023-11-29 16:30:00.000
2,MB654888,1,c1,2023-11-29 10:30:00.000,2023-11-29 16:30:00.000
3,FA872888,2,c1,2023-11-29 10:30:00.000,2023-11-29 16:30:00.000
4,MD189828,2,c1,2023-11-29 10:30:00.000,2023-11-29 16:30:00.000
5,FA872888,1,c2,2023-12-01 10:30:00.000,2023-12-01 16:30:00.000
6,FH276183,2,c4,2023-12-01 10:30:00.000,2023-12-01 16:30:00.000
7,MG451892,2,c4,2023-12-01 10:30:00.000,2023-12-01 16:30:00.000
8,FA369774,1,c1,2023-12-04 10:30:00.000,2023-12-04 16:30:00.000
9,MG451892,1,c1,2023-12-04 10:30:00.000,2023-12-04 16:30:00.000
10,FB986112,2,c1,2023-12-04 10:30:00.000,2023-12-04 16:30:00.000
11,MD189828,2,c1,2023-12-04 10:30:00.000,2023-12-04 16:30:00.000
12,FH276183,1,c1,2023-12-05 10:30:00.000,2023-12-05 16:30:00.000
13,FN545893,1,c1,2023-12-05 10:30:00.000,2023-12-05 16:30:00.000
14,FA369774,2,c2,2023-12-05 10:30:00.000,2023-12-05 16:30:00.000
15,MG451892,2,c2,2023-12-05 10:30:00.000,2023-12-05 16:30:00.000
16,FB986112,1,c2,2023-12-07 10:30:00.000,2023-12-07 16:30:00.000
17,MD189828,1,c2,2023-12-07 10:30:00.000,2023-12-07 16:30:00.000
18,FN545893,2,c2,2023-12-07 10:30:00.000,2023-12-07 16:30:00.000
19,FA872888,2,c2,2023-12-07 10:30:00.000,2023-12-07 16:30:00.000
20,FA539933,1,c1,2023-12-12 10:30:00.000,2023-12-12 16:30:00.000
21,FA872888,1,c1,2023-12-12 10:30:00.000,2023-12-12 16:30:00.000
22,FA369774,2,c5,2023-12-12 10:30:00.000,2023-12-12 16:30:00.000
23,FN545893,2,c5,2023-12-12 10:30:00.000,2023-12-12 16:30:00.000
24,FB986112,1,c5,2023-12-13 10:30:00.000,2023-12-13 16:30:00.000
25,MG451892,1,c5,2023-12-13 10:30:00.000,2023-12-13 16:30:00.000
26,FA539933,2,c2,2023-12-13 10:30:00.000,2023-12-13 16:30:00.000
27,FH276183,2,c2,2023-12-13 10:30:00.000,2023-12-13 16:30:00.000
28,FA539933,1,c5,2023-12-14 10:30:00.000,2023-12-14 16:30:00.000
29,FB986112,1,c5,2023-12-14 10:30:00.000,2023-12-14 16:30:00.000
30,FH276183,2,c5,2023-12-14 10:30:00.000,2023-12-14 16:30:00.000
31,MD189828,2,c5,2023-12-14 10:30:00.000,2023-12-14 16:30:00.000
32,MN892384,1,c1,2024-01-15 11:00:00.000,2024-01-15 17:00:00.000
33,FR274756,1,c1,2024-01-17 10:30:00.000,2024-01-17 16:30:00.000
34,MP491478,1,c1,2024-01-15 11:00:00.000,2024-01-15 17:00:00.000
35,MH666361,1,c1,2024-01-22 10:30:00.000,2024-01-22 16:30:00.000
36,FU272719,1,c1,2024-01-16 10:30:00.000,2024-01-16 16:30:00.000
37,FZ215211,1,c1,2024-01-23 10:30:00.000,2024-01-23 16:30:00.000
38,FZ215211,2,c3,2024-01-22 10:30:00.000,2024-01-22 16:30:00.000
39,MR847365,1,c1,2024-01-23 10:30:00.000,2024-01-23 16:30:00.000
40,MN698987,1,c1,2024-01-17 10:30:00.000,2024-01-17 16:30:00.000
41,WA642611,1,c7,2024-01-24 10:30:00.000,2024-01-24 16:30:00.000
42,MR576952,1,c1,2024-01-16 10:30:00.000,2024-01-16 16:30:00.000
43,MM172178,1,c1,2024-01-18 10:30:00.000,2024-01-18 16:30:00.000
44,WA642611,2,c3,2024-01-17 10:30:00.000,2024-01-17 16:30:00.000
47,MN698987,2,c7,2024-01-24 10:30:00.000,2024-01-24 16:30:00.000
45,MM448147,1,c7,2024-01-24 10:30:00.000,2024-01-24 16:30:00.000
46,MM448147,2,c3,2024-01-17 10:30:00.000,2024-01-17 16:30:00.000
48,MM172178,2,c3,2024-01-16 10:30:00.000,2024-01-16 16:30:00.000
49,WB447246,1,c1,2024-01-18 10:30:00.000,2024-01-18 16:30:00.000
50,FR274756,2,c3,2024-01-15 11:00:00.000,2024-01-15 17:00:00.000
51,MN892384,2,c3,2024-01-18 10:30:00.000,2024-01-18 16:30:00.000
52,MH666361,2,c3,2024-01-15 11:00:00.000,2024-01-15 17:00:00.000
53,MP491478,2,c3,2024-01-22 10:30:00.000,2024-01-22 16:30:00.000
54,WB447246,2,c3,2024-01-16 10:30:00.000,2024-01-16 16:30:00.000
55,FU272719,2,c3,2024-01-23 10:30:00.000,2024-01-23 16:30:00.000
56,MR576952,2,c3,2024-01-23 10:30:00.000,2024-01-23 16:30:00.000
57,MR847365,2,c3,2024-01-24 10:30:00.000,2024-01-24 16:30:00.000
58,MS243136,1,c1,2024-01-22 10:30:00.000,2024-01-22 16:30:00.000
59,MS243136,2,c3,2024-01-18 10:30:00.000,2024-01-18 16:30:00.000
60,MS243136,2,c7,2024-01-24 10:30:00.000,2024-01-24 16:30:00.000
